City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Leirvik,NO,59.7798,5.5005,41.63,94,100,7.54,moderate rain
211,Colares,PT,38.7992,-9.4469,54.34,72,1,20.0,clear sky
212,Cayenne,GF,4.9333,-52.3333,77.09,90,97,3.44,overcast clouds
213,Dukat,RU,62.55,155.55,-15.75,94,46,4.25,scattered clouds
214,Tual,ID,-5.6667,132.75,80.76,75,83,7.87,broken clouds
215,Codrington,AU,-38.2667,141.9667,71.42,60,19,11.79,few clouds
216,Kamenka,RU,51.3223,42.7678,5.67,97,74,6.04,broken clouds
217,Rocha,UY,-34.4833,-54.3333,58.17,62,25,8.28,scattered clouds
218,Mezen,RU,65.8522,44.24,10.6,83,100,11.12,overcast clouds
219,Gogrial,SS,8.5332,28.1004,70.11,18,93,3.98,overcast clouds
220,Beloha,MG,-25.1667,45.05,77.41,68,0,7.47,clear sky
221,Kapaa,US,22.0752,-159.319,78.78,65,0,18.41,clear sky
222,Darhan,MN,49.4867,105.9228,-6.61,91,100,3.02,overcast clouds
223,Vao,NC,-22.6667,167.4833,80.35,81,99,14.54,overcast clouds
224,Ponta Do Sol,PT,32.6667,-17.1,61.43,73,94,1.77,overcast clouds
225,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,97,2.68,overcast clouds
226,Aksu,CN,41.1231,80.2644,33.3,34,78,3.02,broken clouds
227,Corning,US,42.1428,-77.0547,11.89,79,0,0.0,clear sky
228,Puerto Carreno,CO,6.189,-67.4859,81.12,49,54,8.95,broken clouds
229,Nouadhibou,MR,20.931,-17.0347,64.38,72,99,16.11,overcast clouds
230,Fallon,US,39.4735,-118.7774,51.28,28,0,8.05,clear sky
231,Shima,CN,24.4478,117.8111,62.62,84,100,5.73,overcast clouds
232,Broken Hill,AU,-31.95,141.4333,96.51,16,98,8.05,overcast clouds
233,Yotoco,CO,3.8605,-76.3836,71.74,98,100,1.83,moderate rain
234,Khor,RU,47.8861,134.9464,13.05,90,100,1.7,light snow
235,Beringovskiy,RU,63.05,179.3167,-22.54,96,37,9.66,scattered clouds
236,Baykalsk,RU,51.5058,104.1469,-2.54,97,100,4.68,overcast clouds
237,Sadri,IN,25.1833,73.4333,70.43,23,0,4.16,clear sky
238,Carnarvon,AU,-24.8667,113.6333,86.07,74,6,12.66,clear sky
239,Vostok,RU,46.4856,135.8833,17.65,88,100,3.87,light snow
240,Tambovka,RU,50.0969,128.0489,3.31,90,100,5.55,overcast clouds
241,Corsicana,US,32.0954,-96.4689,53.78,48,0,4.61,clear sky
242,Saskylakh,RU,71.9167,114.0833,-15.03,95,21,4.0,few clouds
243,Torbat-E Jam,IR,35.244,60.6225,39.47,71,14,10.87,few clouds
244,Chuy,UY,-33.6971,-53.4616,58.28,64,5,9.42,clear sky
245,Rio Claro,BR,-22.4114,-47.5614,67.12,86,0,2.62,clear sky
246,Ambulu,ID,-8.345,113.6058,81.68,78,82,2.68,broken clouds
247,Teknaf,BD,20.8624,92.3058,75.2,36,3,5.06,clear sky
248,Seaham,GB,54.839,-1.3458,44.08,88,100,1.01,overcast clouds
249,Astoria,US,46.1879,-123.8313,49.01,89,20,17.27,few clouds
250,Grindavik,IS,63.8424,-22.4338,30.15,80,40,10.36,scattered clouds
251,Leningradskiy,RU,69.3833,178.4167,-17.97,90,79,6.2,broken clouds
252,Laguna,US,38.421,-121.4238,66.24,63,0,4.61,clear sky
253,Marsh Harbour,BS,26.5412,-77.0636,73.09,76,100,21.27,light rain
254,Dauphin,CA,51.1494,-100.0502,-14.66,84,75,4.61,broken clouds
255,Sioux Lookout,CA,50.1001,-91.917,-5.42,77,75,0.0,broken clouds
256,Weihai,CN,37.5017,122.1136,29.59,70,100,23.87,overcast clouds
257,Praia Da Vitoria,PT,38.7333,-27.0667,55.65,88,40,2.71,scattered clouds
258,Whitianga,NZ,-36.8333,175.7,66.2,72,49,1.7,scattered clouds
259,Husavik,IS,66.0449,-17.3389,6.71,80,96,17.38,overcast clouds
260,Terra Santa,BR,-2.1042,-56.4869,74.05,91,99,1.88,overcast clouds
261,Murgab,TM,37.4966,61.9714,46.27,61,0,13.8,clear sky
262,Porto Belo,BR,-27.1578,-48.5531,72.25,87,69,3.6,broken clouds
263,Severo-Kurilsk,RU,50.6789,156.125,26.67,69,78,16.75,broken clouds
264,Dwarka,IN,22.2394,68.9678,70.68,57,0,4.27,clear sky
265,Yar-Sale,RU,66.8333,70.8333,-20.34,99,100,7.52,overcast clouds
266,Urumqi,CN,43.801,87.6005,11.35,92,39,2.24,mist
267,Itarema,BR,-2.9248,-39.9167,78.82,82,22,11.23,few clouds
268,Muros,ES,42.7762,-9.0603,52.84,94,15,17.4,few clouds
269,Bosaso,SO,11.2842,49.1816,73.56,71,38,2.89,scattered clouds
270,Kilindoni,TZ,-7.9139,39.6668,80.85,74,100,6.76,overcast clouds
271,Mugur-Aksy,RU,50.35,90.5,3.76,73,72,3.36,broken clouds
272,Geraldton,AU,-28.7667,114.6,86.41,58,6,10.36,clear sky
273,Lemoore,US,36.3008,-119.7829,68.34,57,0,3.44,clear sky
274,Taoudenni,ML,22.6783,-3.9836,57.85,28,0,12.97,clear sky
275,Faya,SA,18.3851,42.4509,46.51,61,9,2.75,clear sky
276,Bukan,IR,36.521,46.2089,24.84,92,77,2.06,broken clouds
